timestamp,iso_time,cpu_percent,ram_percent,gpu_percent
1762624994.925181,2025-11-08T18:03:14.925181,38.0,49.9,0.0
1762624996.2148178,2025-11-08T18:03:16.214818,38.0,49.5,0.0
1762624997.5469348,2025-11-08T18:03:17.546935,29.1,49.5,0.0
1762624998.7939863,2025-11-08T18:03:18.793986,21.4,49.5,0.0
1762625000.1545084,2025-11-08T18:03:20.154508,36.7,49.6,0.0
1762625001.4345407,2025-11-08T18:03:21.434541,29.5,49.5,0.0
1762625002.8950415,2025-11-08T18:03:22.895041,35.0,49.6,0.0
1762625004.193132,2025-11-08T18:03:24.193132,41.7,49.6,0.0
1762625005.646642,2025-11-08T18:03:25.646642,67.1,49.7,0.0
1762625006.9723377,2025-11-08T18:03:26.972338,41.8,49.6,0.0
1762625008.331702,2025-11-08T18:03:28.331702,31.2,49.7,0.0
1762625009.601318,2025-11-08T18:03:29.601318,28.0,49.6,0.0
1762625010.8999186,2025-11-08T18:03:30.899919,33.3,49.6,0.0
1762625012.1811981,2025-11-08T18:03:32.181198,29.5,49.6,0.0
1762625013.4664156,2025-11-08T18:03:33.466416,29.6,49.5,0.0
1762625014.7776759,2025-11-08T18:03:34.777676,25.1,49.6,0.0
1762625016.1103368,2025-11-08T18:03:36.110337,32.7,49.6,0.0
1762625017.433423,2025-11-08T18:03:37.433423,45.4,49.6,0.0
1762625018.9408429,2025-11-08T18:03:38.940843,44.5,49.9,0.0
1762625020.5813677,2025-11-08T18:03:40.581368,60.9,49.9,0.0
1762625021.8407805,2025-11-08T18:03:41.840780,34.8,49.9,0.0
1762625023.1969993,2025-11-08T18:03:43.196999,42.4,50.2,0.0
1762625024.793127,2025-11-08T18:03:44.793127,72.6,50.7,0.0
1762625026.439662,2025-11-08T18:03:46.439662,63.6,50.6,0.0
1762625027.6943302,2025-11-08T18:03:47.694330,33.8,50.7,0.0
1762625029.1938505,2025-11-08T18:03:49.193851,61.1,51.0,0.0
1762625030.5764642,2025-11-08T18:03:50.576464,43.9,51.1,0.0
1762625031.9077559,2025-11-08T18:03:51.907756,64.2,50.9,0.0
1762625033.2266784,2025-11-08T18:03:53.226678,61.2,51.1,0.0
1762625034.9463432,2025-11-08T18:03:54.946343,83.7,50.9,0.0
1762625036.3754578,2025-11-08T18:03:56.375458,50.7,51.1,0.0
1762625037.6714435,2025-11-08T18:03:57.671443,27.7,51.0,0.0
1762625038.9871185,2025-11-08T18:03:58.987118,28.5,50.7,0.0
1762625040.3487244,2025-11-08T18:04:00.348724,55.4,50.9,0.0
1762625041.64531,2025-11-08T18:04:01.645310,33.9,50.7,0.0
1762625042.9738963,2025-11-08T18:04:02.973896,41.3,50.2,0.0
1762625044.5804007,2025-11-08T18:04:04.580401,51.8,50.4,0.0
1762625045.9182806,2025-11-08T18:04:05.918281,54.8,50.4,0.0
1762625047.2759106,2025-11-08T18:04:07.275911,78.8,50.8,0.0
1762625048.548004,2025-11-08T18:04:08.548004,53.3,50.9,0.0
1762625049.818422,2025-11-08T18:04:09.818422,45.0,51.1,0.0
1762625051.301254,2025-11-08T18:04:11.301254,66.4,51.1,0.0
1762625052.6140735,2025-11-08T18:04:12.614074,77.3,51.2,0.0
1762625054.1133459,2025-11-08T18:04:14.113346,69.5,51.4,0.0
1762625055.438392,2025-11-08T18:04:15.438392,56.1,51.8,0.0
1762625057.3012846,2025-11-08T18:04:17.301285,66.9,52.4,0.0
1762625058.7125628,2025-11-08T18:04:18.712563,51.8,52.9,0.0
1762625060.0658715,2025-11-08T18:04:20.065871,53.1,53.3,0.0
1762625061.5628004,2025-11-08T18:04:21.562800,60.7,53.8,0.0
1762625062.9972293,2025-11-08T18:04:22.997229,54.1,53.9,0.0
1762625064.5435991,2025-11-08T18:04:24.543599,63.0,54.5,0.0
1762625066.0755365,2025-11-08T18:04:26.075536,67.7,54.4,0.0
1762625067.4655278,2025-11-08T18:04:27.465528,50.6,54.4,0.0
1762625068.867918,2025-11-08T18:04:28.867918,47.6,54.4,0.0
1762625070.2339728,2025-11-08T18:04:30.233973,50.4,54.4,0.0
1762625071.601745,2025-11-08T18:04:31.601745,50.0,54.0,0.0
1762625072.9686844,2025-11-08T18:04:32.968684,54.3,54.3,0.0
1762625074.4094098,2025-11-08T18:04:34.409410,57.6,54.3,0.0
1762625075.8245134,2025-11-08T18:04:35.824513,42.0,54.3,0.0
1762625077.2007215,2025-11-08T18:04:37.200722,23.2,54.3,0.0
1762625078.470201,2025-11-08T18:04:38.470201,40.9,54.3,0.0
1762625079.8114266,2025-11-08T18:04:39.811427,35.3,54.2,0.0
1762625081.1584558,2025-11-08T18:04:41.158456,44.7,54.2,0.0
